Region,Scheme,Administering Body,Type of Support,Eligible Activities / Industries,Notes / Amounts,Official Link,,Stage,Next Review
Canada,FedDev Ontario – Technology & Innovation Financial Support,FedDev Ontario,Grant / contribution / financing,Emerging tech companies in Ontario,"Up to $500,000 for eligible projects",https://sbs-spe.feddevontario.canada.ca/en/technology-and-innovation-financial-support,[Open Link](https://sbs-spe.feddevontario.canada.ca/en/technology-and-innovation-financial-support),MVP,11/11/2026
Canada,Life Sciences Scale‑Up Fund (LSSUF),Province of Ontario,Grant / cost share,"Life sciences, health tech, health products",Up to 33% of eligible project costs,https://www.ontario.ca/page/life-sciences-scale-fund,[Open Link](https://www.ontario.ca/page/life-sciences-scale-fund),MVP,11/11/2026
Canada,Strategic Innovation Fund (SIF),"Innovation, Science & Economic Development Canada",Large innovation grants / investments,"Advanced manufacturing, digital industries, health, etc.",High bar; big projects often win,https://en.wikipedia.org/wiki/Strategic_Innovation_Fund,[Open Link](https://en.wikipedia.org/wiki/Strategic_Innovation_Fund),MVP,11/11/2026
Canada,Digital Health Innovation Fund (SIF / Stream 4),Government of Canada / ISED,Grant / reimbursement,Digital health and health tech innovations,$25M fund overall; project size $1M–$7M scale,https://www.dhdp.ca/funding-opportunities/digitalhealthinnovationfund,[Open Link](https://www.dhdp.ca/funding-opportunities/digitalhealthinnovationfund),MVP,11/11/2026
Canada,Health Technologies Fund (Ontario),Ontario Government,Grant / cost share,"Health technologies, prototyping, commercialization in health","Up to 50% of project expenses, max ~$500,000",https://funding.ryan.com/blog/government-funding/health-technologies-fund-overview/,[Open Link](https://funding.ryan.com/blog/government-funding/health-technologies-fund-overview/),MVP,11/11/2026
Canada,Grand Challenges Canada,Nonprofit / impact funding,Grant / seed & scale,"Global health, innovation projects with impact","Various calls (seed, scale)",https://www.grandchallenges.ca/apply-for-funding/,[Open Link](https://www.grandchallenges.ca/apply-for-funding/),MVP,11/11/2026
Canada,Clean Tech / Clean Growth Hub,Canada / ISED,"Grants, contributions, supports for tech innovation","Clean tech, sustainable tech, energy, etc.",Supports adoption of market‑ready clean tech,https://ised-isde.canada.ca/site/clean-growth-hub/en/funding-opportunities,[Open Link](https://ised-isde.canada.ca/site/clean-growth-hub/en/funding-opportunities),MVP,11/11/2026
Canada,PropTech Accelerator / CTA PropTech Program,Canadian Trade Commissioner / Government Canada,"Program support, market access, possible funding","PropTech, real estate technology",Helps startups reach US / global markets,https://www.tradecommissioner.gc.ca/cta-atc/prop-tech-immobilieres.aspx?lang=eng,[Open Link](https://www.tradecommissioner.gc.ca/cta-atc/prop-tech-immobilieres.aspx?lang=eng),MVP,11/11/2026
Canada,Funding for Small Businesses,City of Toronto,,,,https://www.toronto.ca/business-economy/new-businesses-startups/funding-for-small-businesses/,[Open Link](https://www.toronto.ca/business-economy/new-businesses-startups/funding-for-small-businesses/),MVP,11/11/2026
Canada,Starter Company Plus Grant,City of Toronto,,,,https://www.toronto.ca/business-economy/business-operation-growth/business-incentives/starter-company-plus-grant/,[Open Link](https://www.toronto.ca/business-economy/business-operation-growth/business-incentives/starter-company-plus-grant/),MVP,11/11/2026
Canada,Funding for Businesses in Southern Ontario: What We Support,Government of Canada,,,,https://feddev-ontario.canada.ca/en/funding-southern-ontario/funding-businesses-southern-ontario-what-we-support,[Open Link](https://feddev-ontario.canada.ca/en/funding-southern-ontario/funding-businesses-southern-ontario-what-we-support),Full Product,11/11/2026
Canada,Invest North - Innovation,Ministry of Northern Economic Development and Growth,,,,https://nohfc.ca/private-programs/invest-north-innovation/,[Open Link](https://nohfc.ca/private-programs/invest-north-innovation/),MVP,11/11/2026
Canada,Brampton Innovator Program,Toronto Metropolitian University,,,,https://www.torontomu.ca/zone-learning/venture-zone-brampton/programming/bramptoninnovatorprogram/?fbclid=IwZnRzaANXiApleHRuA2FlbQEwAGFkaWQBqzOzdLlBGwEeFA6HFNrMY4sTvKmZwPQdzWfDeyFZau09B3TWtjMcjIPfyvSqdZncKjWRmCg_aem_MgpzGHn50UnS83a3a0mwQw,[Open Link](https://www.torontomu.ca/zone-learning/venture-zone-brampton/programming/bramptoninnovatorprogram/?fbclid=IwZnRzaANXiApleHRuA2FlbQEwAGFkaWQBqzOzdLlBGwEeFA6HFNrMY4sTvKmZwPQdzWfDeyFZau09B3TWtjMcjIPfyvSqdZncKjWRmCg_aem_MgpzGHn50UnS83a3a0mwQw),MVP,11/11/2026
Hong Kong,Technology Voucher Programme (TVP) – Hong Kong,,,,Subsidises local firms up to HK$600 k for tech services/solutions.,https://www.itf.gov.hk/en/funding-programmes/index.html,[Open Link](https://www.itf.gov.hk/en/funding-programmes/index.html),MVP,11/11/2026
Hong Kong,"Hong Kong Science and Technology Parks Corporation Incubation Programmes (Incu‑App, Incu‑Tech, Incu‑Bio)",,,,"Funding up to HK$1.29 m for R&D ventures, incubation support.",https://www.hkstp.org/en/programmes/funding,[Open Link](https://www.hkstp.org/en/programmes/funding),MVP,11/11/2026
Hong Kong,SME Export Marketing Fund (EMF),,,,"Reimburses SMEs for export marketing expenditures (digital marketing, trade shows) up to HK$800k.",https://www.ip.gov.hk/en/resources/funding-support/index.html,[Open Link](https://www.ip.gov.hk/en/resources/funding-support/index.html),Full Product,11/11/2026
Hong Kong,Cyberport – Creative Micro Fund (CCMF) + Incubation,,,,Early‑stage support: seed funding (HK$100k) and incubation for tech start‑ups.,https://www.itib.gov.hk/en/i_and_t_support/support_start_ups.html,[Open Link](https://www.itib.gov.hk/en/i_and_t_support/support_start_ups.html),MVP,11/11/2026
Hong Kong,Innovation and Technology Fund (ITF),,,,"Broad R&D & innovation funding: enterprise support, cash rebate, collaboration with mainland.",https://www.itf.gov.hk/en/funding-programmes/index.html,[Open Link](https://www.itf.gov.hk/en/funding-programmes/index.html),MVP,11/11/2026
